"id","timestamp","location","aqi","pm25","pm10","co","so2","no2","o3"
"11779","2025-11-27 13:37:18.283868+00","Thua Thien Hue","81","25","46","243","3","5","62"
"11780","2025-11-27 13:37:20.461966+00","Tra Vinh","84","27","35","270","4","6","77"
"11781","2025-11-27 13:37:22.646236+00","Tuyen Quang Province","69","19","25","348","5","8","44"
"11782","2025-11-27 13:37:24.826134+00","Vinh Long","77","23","29","253","4","11","56"
"11783","2025-11-27 13:37:27.379937+00","Vinh Phuc","79","24","26","273","6","9","53"
"11784","2025-11-27 14:26:30.540859+00","Ba Ria Vung Tau","92","31","38","375","4","22","48"
"11785","2025-11-27 14:26:33.338448+00","Bac Giang","66","17","41","227","11","7","27"
"11786","2025-11-27 14:26:35.939562+00","Bac Ninh","59","14","20","261","8","10","34"
"11787","2025-11-27 14:26:38.565678+00","Binh Dinh","74","21","32","207","2","5","55"
"11788","2025-11-27 14:26:41.07234+00","Binh Duong","70","19","27","262","3","12","48"
"11789","2025-11-27 14:26:43.765465+00","Can Tho","71","20","30","243","3","11","55"
"11790","2025-11-27 14:26:47.110322+00","Cao Bang","80","24","48","406","2","4","41"
"11791","2025-11-27 14:26:51.659076+00","Da Nang","83","26","48","288","4","10","60"
"11792","2025-11-27 14:26:59.30826+00","Gia Lai","85","28","30","333","5","23","50"
"11793","2025-11-27 14:27:02.621502+00","Ha Nam","79","24","39","298","7","15","42"
"11794","2025-11-27 14:27:05.180376+00","Ha Nam Province","82","26","37","307","8","17","39"
"11795","2025-11-27 14:27:08.691081+00","Ha Noi","111","39","64","658","11","34","17"
"11796","2025-11-27 14:27:12.069741+00","Hai Duong","63","16","42","223","11","8","39"
